class_id,class_name,direction,rank,feature,coefficient
1,mild,positive,21,home,0.22475351
1,mild,positive,22,broken,0.2225672
1,mild,positive,23,school,0.21691184
1,mild,positive,24,child,0.21543224
1,mild,positive,25,stress,0.21501775
1,mild,negative,1,sleep,-0.28210235
1,mild,negative,2,guy,-0.25609547
1,mild,negative,3,care,-0.23508315
1,mild,negative,4,anxious,-0.21960433
1,mild,negative,5,suicide,-0.20941068
1,mild,negative,6,can,-0.20891187
1,mild,negative,7,next,-0.20860906
1,mild,negative,8,around,-0.20548555
1,mild,negative,9,kid,-0.1960845
1,mild,negative,10,thank,-0.19554392
1,mild,negative,11,share,-0.18318646
1,mild,negative,12,sometimes,-0.18068086
1,mild,negative,13,fall,-0.17115562
1,mild,negative,14,remember,-0.17032997
1,mild,negative,15,food,-0.16997738
1,mild,negative,16,dad,-0.16522038
1,mild,negative,17,plan,-0.1637856
1,mild,negative,18,live,-0.16284372
1,mild,negative,19,url,-0.15697382
1,mild,negative,20,part,-0.15447845
1,mild,negative,21,sleeping,-0.15331087
1,mild,negative,22,suicidal,-0.1513072
1,mild,negative,23,weight,-0.14987858
1,mild,negative,24,bit,-0.1498637
1,mild,negative,25,everything,-0.14982992
2,moderate,positive,1,sleep,0.8667142
2,moderate,positive,2,anxiety,0.7407663
2,moderate,positive,3,anxious,0.49476513
2,moderate,positive,4,nightmare,0.4409197
2,moderate,positive,5,panic,0.3540807
2,moderate,positive,6,can,0.3539008
2,moderate,positive,7,attack,0.3206333
2,moderate,positive,8,panic attack,0.31119585
2,moderate,positive,9,work,0.30886716
2,moderate,positive,10,asleep,0.29896936
2,moderate,positive,11,stomach,0.29492104
2,moderate,positive,12,body,0.29211694
2,moderate,positive,13,tired,0.2902077
2,moderate,positive,14,sick,0.2625875
2,moderate,positive,15,alone,0.2597412
2,moderate,positive,16,breathe,0.25929627
2,moderate,positive,17,worry,0.25001273
2,moderate,positive,18,weight,0.24989691
2,moderate,positive,19,nervous,0.24737453
2,moderate,positive,20,symptom,0.23662466
2,moderate,positive,21,scared,0.22979902
2,moderate,positive,22,hour,0.22525628
2,moderate,positive,23,today,0.22362351
2,moderate,positive,24,started,0.21861982
2,moderate,positive,25,angry,0.21139528
2,moderate,negative,1,said,-0.31066662
2,moderate,negative,2,someone,-0.24920796
2,moderate,negative,3,new,-0.23339762
2,moderate,negative,4,feel like,-0.2330717
2,moderate,negative,5,help,-0.23174918
2,moderate,negative,6,go,-0.23055701
2,moderate,negative,7,don,-0.2213374
2,moderate,negative,8,ever,-0.21997088
2,moderate,negative,9,money,-0.2183536
2,moderate,negative,10,don know,-0.21753402
2,moderate,negative,11,one,-0.21401821
2,moderate,negative,12,bit,-0.20593244
2,moderate,negative,13,friend,-0.20308542
2,moderate,negative,14,suicide,-0.19830695
2,moderate,negative,15,made,-0.19601747
2,moderate,negative,16,year,-0.19250669
2,moderate,negative,17,good,-0.18783462
2,moderate,negative,18,upset,-0.18583977
2,moderate,negative,19,no,-0.18110046
2,moderate,negative,20,relationship,-0.17996532
2,moderate,negative,21,thing,-0.17940053
2,moderate,negative,22,deserve,-0.17704241
2,moderate,negative,23,came,-0.17668083
2,moderate,negative,24,understand,-0.17470185
2,moderate,negative,25,already,-0.17137529
3,severe,positive,1,feel,0.7981286
3,severe,positive,2,don know,0.69717467
3,severe,positive,3,suicide,0.58964753
3,severe,positive,4,feel like,0.58459914
3,severe,positive,5,know,0.4778089
3,severe,positive,6,like,0.41287482
3,severe,positive,7,don,0.3769156
3,severe,positive,8,deserve,0.33601287
3,severe,positive,9,suicidal,0.33357483
3,severe,positive,10,wrong,0.3313184
3,severe,positive,11,self,0.32605472
3,severe,positive,12,kill,0.3242114
3,severe,positive,13,hate,0.32315436
3,severe,positive,14,guilty,0.30353037
3,severe,positive,15,no,0.30264205
3,severe,positive,16,feel guilty,0.30143437
3,severe,positive,17,thought,0.28222886
3,severe,positive,18,nothing,0.28211796
3,severe,positive,19,die,0.27997518
3,severe,positive,20,bad,0.26122168
3,severe,positive,21,told,0.25955278
3,severe,positive,22,care,0.25710756
3,severe,positive,23,attempt,0.25106108
3,severe,positive,24,make feel,0.24763596
3,severe,positive,25,shame,0.2460894
3,severe,negative,1,cry,-0.4968037
3,severe,negative,2,sleep,-0.32106298
3,severe,negative,3,anxiety,-0.28169036
3,severe,negative,4,work,-0.27751324
3,severe,negative,5,went,-0.23707096
3,severe,negative,6,also,-0.22664098
3,severe,negative,7,week,-0.213447
3,severe,negative,8,friend,-0.20630217
3,severe,negative,9,class,-0.18117438
3,severe,negative,10,say,-0.1780727
3,severe,negative,11,angry,-0.17719665
3,severe,negative,12,alone,-0.17544812
3,severe,negative,13,not,-0.16781238
3,severe,negative,14,really,-0.16765979
3,severe,negative,15,asleep,-0.16167657
3,severe,negative,16,call,-0.15944377
3,severe,negative,17,phone,-0.15940556
3,severe,negative,18,stuff,-0.1562886
3,severe,negative,19,url,-0.1551945
3,severe,negative,20,issue,-0.15432438
3,severe,negative,21,panic,-0.15240772
3,severe,negative,22,month,-0.15178241
3,severe,negative,23,best,-0.15032811
3,severe,negative,24,hear,-0.14958304
3,severe,negative,25,current,-0.14664988
